NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE
Pennsylvania Division of Forest Fire Protection,2003.0,3/25/2003 0:00,84.0,1323.0,Human,Debris and open burning,3/25/2003 0:00,84.0,1323.0,2.0,B,40.81277778,-75.6325,MISSING/NOT SPECIFIED,PA
Angeles National Forest,1995.0,8/18/1995 0:00,230.0,1340.0,Human,Equipment and vehicle use,8/18/1995 0:00,230.0,1430.0,1.0,B,34.46,-118.19333329999999,MISSING/NOT SPECIFIED,CA
Tonto National Forest,2006.0,6/29/2006 0:00,180.0,1515.0,Natural,Natural,6/29/2006 0:00,180.0,2300.0,13.5,C,33.55972222,-110.97916670000001,USFS,AZ
Utah Division Forestry Fire State Lands,2001.0,5/3/2001 0:00,123.0,615.0,Human,Debris and open burning,5/3/2001 0:00,123.0,815.0,0.5,B,40.514759999999995,-111.38555,MUNICIPAL/LOCAL,UT
Georgia Forestry Commission,2011.0,1/12/2011 0:00,12.0,1147.0,Human,Misuse of fire by a minor,1/12/2011 0:00,12.0,1228.0,0.5,B,31.23799694,-81.78493511,PRIVATE,GA
Arizona Strip Field Office,2010.0,7/19/2010 0:00,200.0,1456.0,Natural,Natural,7/19/2010 0:00,200.0,1900.0,0.1,A,36.6177,-112.762,BLM,AZ
San Joaquin River National Wildlife Refuge,2013.0,2/3/2013 0:00,34.0,900.0,Human,Recreation and ceremony,2/3/2013 0:00,34.0,930.0,0.1,A,37.62416667,-121.1875,FWS,CA
Alabama Forestry Commission,2016.0,7/1/2016 0:00,183.0,1322.0,Human,Debris and open burning,7/1/2016 0:00,183.0,1406.0,2.0,B,34.381,-86.103,MISSING/NOT SPECIFIED,AL
Minnesota Department of Natural Resources,2018.0,5/6/2018 0:00,126.0,1956.0,Human,Debris and open burning,5/6/2018 0:00,126.0,2124.0,5.0,B,47.31119972,-93.57683424,PRIVATE,MN
Six Rivers National Forest,1998.0,9/4/1998 0:00,247.0,1330.0,Human,Recreation and ceremony,9/4/1998 0:00,247.0,1350.0,0.1,A,41.69,-123.90666670000002,USFS,CA
Fire Department of New York,2012.0,11/20/2012 0:00,325.0,1310.0,Human,Missing data/not specified/undetermined,11/20/2012 0:00,325.0,1414.0,0.1,A,42.028,-75.6599,MISSING/NOT SPECIFIED,NY
Georgia Forestry Commission,2018.0,1/26/2018 0:00,26.0,1702.0,Human,Debris and open burning,1/26/2018 0:00,26.0,1754.0,2.2,B,31.20534167,-81.98937778,PRIVATE,GA
